order_id,order_date,ship_date,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,quantity,discount,sales,profit
ORD-100000,2024-03-27,2024-03-31,CU-10112,Barbara Anderson,Consumer,United States,Ann Arbor,Michigan,Central,PRD-OFF-1444,Office Supplies,Storage,Storage Executive 841,3,0.0,332.24,100.82
ORD-100001,2023-06-21,2023-06-27,CU-10219,Jennifer Martin,Consumer,United States,Las Vegas,Nevada,West,PRD-OFF-2341,Office Supplies,Art,Art Advanced 316,8,0.3,518.23,-12.37
ORD-100002,2025-08-21,2025-08-22,CU-10276,Jessica Thomas,Home Office,United States,Philadelphia,Pennsylvania,East,PRD-FUR-4571,Furniture,Chairs,Chairs Pro 353,4,0.4,1832.03,338.43
ORD-100003,2025-08-10,2025-08-16,CU-10131,Richard Smith,Consumer,United States,Chicago,Illinois,Central,PRD-OFF-4978,Office Supplies,Binders,Binders Pro 419,10,0.1,1036.71,-116.11
ORD-100004,2023-07-28,2023-08-03,CU-10154,David Rodriguez,Home Office,United States,Buffalo,New York,East,PRD-OFF-8532,Office Supplies,Storage,Storage Elite 618,6,0.3,223.89,73.97
ORD-100005,2023-11-10,2023-11-14,CU-10090,Sarah Miller,Corporate,United States,Ann Arbor,Michigan,Central,PRD-TEC-7209,Technology,Accessories,Accessories Advanced 972,4,0.1,4782.11,1077.11
ORD-100006,2024-11-19,2024-11-20,CU-10253,Robert Davis,Consumer,United States,Springfield,Illinois,Central,PRD-OFF-7658,Office Supplies,Storage,Storage Advanced 386,10,0.1,330.94,-35.47
ORD-100007,2025-09-27,2025-10-02,CU-10123,Joseph Jackson,Consumer,United States,Memphis,Tennessee,South,PRD-FUR-6419,Furniture,Bookcases,Bookcases Deluxe 514,4,0.2,992.88,62.31
ORD-100008,2024-12-21,2024-12-27,CU-10232,David Lee,Consumer,United States,Cleveland,Ohio,Central,PRD-FUR-9595,Furniture,Tables,Tables Advanced 222,9,0.4,4634.53,-54.46
ORD-100009,2024-08-02,2024-08-03,CU-10099,Linda Smith,Consumer,United States,Springfield,Illinois,Central,PRD-OFF-9042,Office Supplies,Binders,Binders Standard 380,1,0.0,68.64,11.6
ORD-100010,2023-07-30,2023-08-06,CU-10006,James Williams,Corporate,United States,Ann Arbor,Michigan,Central,PRD-OFF-5978,Office Supplies,Paper,Paper Pro 358,8,0.0,100.12,-7.42
ORD-100011,2023-06-24,2023-06-26,CU-10060,Robert Wilson,Corporate,United States,Savannah,Georgia,South,PRD-OFF-5335,Office Supplies,Storage,Storage Executive 412,10,0.1,675.97,110.02
ORD-100012,2023-06-16,2023-06-18,CU-10122,Linda Williams,Consumer,United States,Los Angeles,California,West,PRD-OFF-4824,Office Supplies,Art,Art Classic 398,1,0.4,51.78,-5.92
ORD-100013,2024-06-25,2024-07-02,CU-10101,Linda Williams,Consumer,United States,Tampa,Florida,South,PRD-TEC-8679,Technology,Machines,Machines Basic 946,3,0.15,1264.89,88.01
ORD-100014,2024-09-14,2024-09-20,CU-10206,Patricia Wilson,Consumer,United States,Ann Arbor,Michigan,Central,PRD-TEC-5415,Technology,Phones,Phones Executive 852,6,0.0,2291.64,801.58
ORD-100015,2023-03-24,2023-03-31,CU-10089,Susan Miller,Consumer,United States,Memphis,Tennessee,South,PRD-TEC-9117,Technology,Copiers,Copiers Classic 193,8,0.0,8173.55,121.8
